小区名称,小区参考均价,90天成交数,当前出租数,所在地区,详细地址,建成年份
长电宿舍,"('6836', '元/m')",90天成交0套,10套正在出租,雨花,雨花亭,1991年建成
机电市场,"('6838', '元/m')",90天成交0套,1套正在出租,雨花,汽车南站,未知年建成
湘江航运宿舍,"('6841', '元/m')",90天成交0套,1套正在出租,雨花,东塘,未知年建成
中扬大厦,"('6847', '元/m')",90天成交0套,1套正在出租,雨花,东塘,2000年建成
井湾路273号,"('6855', '元/m')",90天成交0套,0套正在出租,雨花,韶山南路,2007年建成
桔香苑,"('6858', '元/m')",90天成交0套,12套正在出租,雨花,雨花亭,1999年建成
赤岗社区,"('6858', '元/m')",90天成交6套,14套正在出租,雨花,左家塘,1987年建成
莱特尔事业集团小区,"('6863', '元/m')",90天成交0套,2套正在出租,雨花,桂花村,1995年建成
湘粮机械厂宿舍,"('6867', '元/m')",90天成交0套,7套正在出租,雨花,左家塘,1989年建成
高升小区C区,"('6880', '元/m')",90天成交0套,1套正在出租,雨花,德思勤,2006年建成
鑫天花园,"('6880', '元/m')",90天成交0套,7套正在出租,雨花,雨花亭,2000年建成
输变电厂宿舍,"('6884', '元/m')",90天成交0套,0套正在出租,雨花,井湾子,未知年建成
中天佳园,"('6890', '元/m')",90天成交0套,4套正在出租,雨花,汽车南站,2003年建成
中南家园西区,"('6898', '元/m')",90天成交0套,7套正在出租,雨花,武广新城,1980年建成
湖南省药品检验研究院小区南院,"('6901', '元/m')",90天成交0套,0套正在出租,雨花,韶山南路,未知年建成
湖橡宿舍,"('6906', '元/m')",90天成交2套,5套正在出租,雨花,窑岭,1985年建成
湖南省勘测设计院,"('6911', '元/m')",90天成交1套,0套正在出租,雨花,武广新城,1987年建成
骆家坝小区,"('6913', '元/m')",90天成交0套,14套正在出租,雨花,左家塘,2000年建成
橡鞋小区,"('6916', '元/m')",90天成交0套,0套正在出租,雨花,左家塘,未知年建成
